voltage x,voltage y,time
-7.694101417,7.704863959,0.134
-7.671411057,7.714071509,0.135
-7.668451445,7.72031949,0.136
-7.671739903,7.71144078,0.137
-7.668780291,7.71735992,0.138
-7.669109136,7.711769622,0.139
-7.665162987,7.719332966,0.14
-7.65562646,7.725909788,0.141
-7.670095674,7.731171245,0.142
-7.670095674,7.729855881,0.143
-7.66417645,7.720977172,0.144
-7.670095674,7.71144078,0.145
-7.674370669,7.709138893,0.146
-7.67667259,7.707165846,0.147
-7.677001435,7.709467734,0.148
-7.678316819,7.712098463,0.149
-7.677659127,7.701246707,0.15
-7.682262968,7.697958296,0.151
-7.686537964,7.69302568,0.152
-7.68522258,7.696314091,0.153
-7.674041823,7.70223323,0.154
-7.67042452,7.711769622,0.155
-7.665820679,7.712098463,0.156
-7.666807216,7.712427304,0.157
-7.66417645,7.718017602,0.158
-7.664834141,7.715058032,0.159
-7.665820679,7.721634854,0.16
-7.658586072,7.721963695,0.161
-7.652338002,7.727553993,0.162
-7.655955305,7.727225152,0.163
-7.664834141,7.717031079,0.164
-7.672397594,7.709467734,0.165
-7.674370669,7.709138893,0.166
-7.676343744,7.707823529,0.167
-7.675028361,7.698287138,0.168
-7.674370669,7.7051928,0.169
-7.675686052,7.703219754,0.17
-7.679961048,7.697629455,0.171
-7.686537964,7.694998727,0.172
-7.684564889,7.692367998,0.173
-7.67667259,7.700260184,0.174
-7.665162987,7.712756145,0.175
-7.665491833,7.711111939,0.176
-7.664505296,7.711769622,0.177
-7.683249506,7.716044556,0.178
-7.681605277,7.716373397,0.179
-7.67897451,7.716373397,0.18
-7.658586072,7.725580947,0.181
-7.667464908,7.729855881,0.182
-7.656941843,7.727882835,0.183
-7.675028361,7.718346443,0.184
-7.673384132,7.714729191,0.185
-7.683907197,7.712756145,0.186
-7.688511039,7.707165846,0.187
-7.675357206,7.709796575,0.188
-7.685880272,7.70815237,0.189
-7.678645664,7.708481211,0.19
-7.683907197,7.698287138,0.191
-7.685880272,7.695656409,0.192
-7.685880272,7.694012204,0.193
-7.677659127,7.699602502,0.194
-7.66647837,7.711769622,0.195
-7.666807216,7.71144078,0.196
-7.665820679,7.709796575,0.197
-7.663847604,7.713413827,0.198
-7.665820679,7.712756145,0.199
-7.662203375,7.715386873,0.2
-7.654311077,7.722292536,0.201
-7.650364927,7.725580947,0.202
-7.650364927,7.72656747,0.203
-7.659901455,7.716373397,0.204
-7.667793753,7.710125416,0.205
-7.666807216,7.708810052,0.206
-7.684564889,7.709467734,0.207
-7.674370669,7.697629455,0.208
-7.677330281,7.710125416,0.209
-7.677987973,7.702890913,0.21
-7.684893735,7.694998727,0.211
-7.686866809,7.691381475,0.212
-7.687195655,7.69302568,0.213
-7.67667259,7.701575548,0.214
-7.667793753,7.71144078,0.215
-7.66417645,7.714071509,0.216
-7.664505296,7.711769622,0.217
-7.663847604,7.713413827,0.218
-7.681934122,7.71735992,0.219
-7.67897451,7.719661807,0.22
-7.656612997,7.727882835,0.221
-7.654639922,7.73248661,0.222
-7.662203375,7.731500087,0.223
-7.66417645,7.719332966,0.224
-7.670753365,7.704863959,0.225
-7.682591814,7.711769622,0.226
-7.68292066,7.710783098,0.227
-7.67897451,7.710125416,0.228
-7.681276431,7.710454257,0.229
-7.679632202,7.709796575,0.23
-7.690484113,7.703877436,0.231
-7.704295638,7.694341045,0.232
-7.702322563,7.695327568,0.233
-7.679303356,7.709138893,0.234
-7.672397594,7.70223323,0.235
-7.673384132,7.707823529,0.236
-7.669109136,7.709138893,0.237
-7.663518758,7.715386873,0.238
-7.683249506,7.717031079,0.239
-7.668780291,7.720648331,0.24
-7.658586072,7.721634854,0.241
-7.652009156,7.725909788,0.242
-7.670095674,7.727882835,0.243
-7.662861067,7.720977172,0.244
-7.680289893,7.715386873,0.245
-7.674041823,7.712427304,0.246
-7.691141805,7.711111939,0.247
-7.677659127,7.70815237,0.248
-7.680289893,7.709467734,0.249
-7.677001435,7.71144078,0.25
-7.687195655,7.700260184,0.251
-7.691799497,7.698615979,0.252
-7.690484113,7.697958296,0.253
-7.68292066,7.703219754,0.254
-7.672068749,7.694998727,0.255
-7.664834141,7.710783098,0.256
-7.664505296,7.713413827,0.257
-7.668780291,7.714071509,0.258
-7.66417645,7.715058032,0.259
-7.661216838,7.716702238,0.26
-7.654639922,7.720977172,0.261
-7.64937839,7.728869358,0.262
-7.652995694,7.725580947,0.263
-7.658257226,7.718675284,0.264
-7.665820679,7.713084986,0.265
-7.668122599,7.710125416,0.266
-7.673712978,7.707823529,0.267
-7.67897451,7.706508164,0.268
-7.672397594,7.707494688,0.269
-7.675357206,7.702890913,0.27
-7.68292066,7.70223323,0.271
-7.688839884,7.69302568,0.272
-7.687853347,7.690066111,0.273
-7.681934122,7.693354522,0.274
-7.671411057,7.709138893,0.275
-7.664834141,7.712098463,0.276
-7.663847604,7.714729191,0.277
-7.662861067,7.716702238,0.278
-7.662861067,7.713413827,0.279
-7.671082211,7.716044556,0.28
-7.656941843,7.722292536,0.281
-7.65562646,7.726238629,0.282
-7.65168031,7.728211676,0.283
-7.661874529,7.725252106,0.284
-7.672068749,7.716373397,0.285
-7.675686052,7.714071509,0.286
-7.673712978,7.71144078,0.287
-7.675028361,7.710454257,0.288
-7.674699515,7.711111939,0.289
-7.679303356,7.707823529,0.29
-7.682262968,7.703877436,0.291
-7.688839884,7.695327568,0.292
-7.687195655,7.69894482,0.293
-7.696732184,7.702562071,0.294
-7.674041823,7.713084986,0.295
-7.682591814,7.71440035,0.296
-7.668451445,7.717031079,0.297
-7.668122599,7.718675284,0.298
-7.666149524,7.718017602,0.299
-7.681276431,7.717031079,0.3
-7.658586072,7.725580947,0.301
-7.655297614,7.730513563,0.302
-7.655297614,7.7236079,0.303
-7.661545684,7.716373397,0.304
-7.670095674,7.700260184,0.305
-7.669766828,7.713084986,0.306
-7.67667259,7.709796575,0.307
-7.674370669,7.712756145,0.308
-7.675028361,7.707823529,0.309
-7.675686052,7.710125416,0.31
-7.684893735,7.68973727,0.311
-7.687524501,7.694012204,0.312
-7.685551426,7.693683363,0.313
-7.679632202,7.703219754,0.314
-7.67897451,7.708810052,0.315
-7.667136062,7.713084986,0.316
-7.661874529,7.710783098,0.317
-7.666807216,7.712427304,0.318
-7.670095674,7.715386873,0.319
-7.667136062,7.710125416,0.32
-7.657270689,7.721306013,0.321
-7.652666848,7.726896311,0.322
-7.649707236,7.724923265,0.323
-7.659572609,7.719661807,0.324
-7.675686052,7.714071509,0.325
-7.671082211,7.709138893,0.326
-7.677659127,7.708810052,0.327
-7.671739903,7.706179323,0.328
-7.673384132,7.705850482,0.329
-7.677001435,7.704863959,0.33
-7.681934122,7.702890913,0.331
-7.688839884,7.692367998,0.332
-7.688839884,7.687764223,0.333
-7.681934122,7.69894482,0.334
-7.67667259,7.697300614,0.335
-7.667136062,7.71735992,0.336
-7.667136062,7.713413827,0.337
-7.668451445,7.716044556,0.338
-7.665820679,7.715386873,0.339
-7.663518758,7.717031079,0.34
-7.658586072,7.725909788,0.341
-7.661545684,7.729855881,0.342
-7.652338002,7.728211676,0.343
-7.659243763,7.720977172,0.344
-7.669766828,7.712756145,0.345
-7.683578351,7.714729191,0.346
-7.67667259,7.714071509,0.347
-7.677659127,7.710125416,0.348
-7.675357206,7.702890913,0.349
-7.677001435,7.698287138,0.35
-7.683249506,7.70223323,0.351
-7.68522258,7.693683363,0.352
-7.684564889,7.694341045,0.353
-7.679961048,7.700917866,0.354
-7.672068749,7.706508164,0.355
-7.668451445,7.711769622,0.356
-7.666807216,7.714071509,0.357
-7.667136062,7.71440035,0.358
-7.662861067,7.712756145,0.359
-7.662861067,7.715715714,0.36
-7.661545684,7.722950218,0.361
